UID,DOMAIN,ERROR CODE,DESCRIPTION,ACTION,SAMPLE TICKET,SAMPLE IM,LAST UPDATE,REP
81,XSI,J169,Example:|Some items of report not delivered,Gather the user id.|Ok the error.|Confirm with the customer the correct admin_to address - if possible - and update the profile accordingly.|If this is not possible - disable the delivery report.||If the amount of J169s in the error queue is higher than usual - determine the cause. If the cause is a failing customer push - do NOT ok the errors. Reach out to the customer and once the issue is resolved - retry the errors. ,,,3/27/2024,WLAO
82,XSI,J171,Example:|Could not deliver MCP2MCP report,Retry.|If it returns- escalate a ticket.,,,3/27/2024,WLAO
83,XSI,J172,Example:|Can't set MCP bit for doc 205318031: dm_errno 201,Retry.|If it returns- escalate a ticket.,,IM1440096,3/27/2024,WLAO
84,XSI,J178,Example:|Invalid %USER:TRANS keyword in header,Correct the user's translators and cancel the error.,,,3/27/2024,WLAO
85,XSI,J180,Example:|Job setup error: Cannot get mail merge cover sheet object numbers,Retry once only.|Cancel with notice back to customer with which specific object was not found.,,,3/27/2024,WLAO
86,XSI,J180,Example:|Job setup error: Cannot get banner number from object store,Retry once only.|Cancel with notice back to customer with which specific object was not found.,,,3/27/2024,WLAO
87,XSI,J182,Example:|Job scheduled too far in advance.,Cancel.,,,3/27/2024,WLAO
88,XSI,J188,Example:|jmon got sjobdone request - but job already complete,If the job is complete - Kill the error.|If the job is still in process - retry. If the error returns - escalate a ticket.,,,3/27/2024,WLAO
89,XSI,J201,Example:|infinite loop in jmon,Kill once.|If it returns - escalate a ticket.,,,3/27/2024,WLAO
90,XSI,J203,Example:|Can't put item on fax-vmxsitf9 queue for 1729338202-361: disk update failed at server - 13,Retry.|If it returns- escalate a ticket.,,,3/27/2024,WLAO
91,XSI,J204,Can't save job header 2620717: DMDoc error: dm_errno 201,Retry.|If it returns- escalate a ticket.,,,3/27/2024,WLAO
92,XSI,J217,Example:|Can't init job: initialization problem.  sys/user(comb) stuff is uninitialized,Retry.|If it returns- escalate a ticket.,,,3/27/2024,WLAO
93,XSI,J219,Example:|Waiting for rollback or commit,Retry.|If it returns- escalate a ticket.,,,3/27/2024,WLAO
94,XSI,J220,Example:|Can't open tfnas10(800 800):/vol/xsijmon2/mcp/run/jmon/92339524-0.rollback,Retry.|If it returns- escalate a ticket.,,,3/27/2024,WLAO
95,XSI,J229,Example:|Can't decrement parent job's count.,Retry.|If it returns- escalate a ticket.,,,3/27/2024,WLAO
96,XSI,J235,Example:|Call to the Route Tree failed.,Cancel.,,,3/27/2024,WLAO
97,XSI,J236,Example:|1 recipients fom subjob 2 weren't assigned to delivery subjobs,Retry.|If it returns- escalate a ticket.,,,3/27/2024,WLAO
98,XSI,J246,Example:|can't deliver requested features to dctrans,Retry.|If it returns- escalate a ticket.,,,3/27/2024,WLAO
99,XSI,J250,Example:|Jmon can't save changes,Retry.|If it returns- escalate a ticket.,,,3/27/2024,WLAO
100,XSI,J254,Example:|Address type doesn't support job features,If the job is a VOICE job:|Update the route_no to 0 and retry the error.|If the route_no is 0 and the job still errors J254 - verify the area code is valid.|For all other types of jobs:|Retry.|Ok.||If this is a VOICE job for Centurylink (CANs 853753 and 861907) - escalate a ticket. Do NOT change the route_no.,,,3/27/2024,WLAO
101,XSI,J260,Example:|user:retry_algo keyword not in job header,Retry.,,,3/27/2024,WLAO
102,XSI,J265,Example:|Wrong number of bcdetail records,Retry.|If it returns- escalate a ticket.,,,3/27/2024,WLAO
103,XSI,J269,Example:|expiration time has already passed,Example:|Determine if the jobs should deliver:  If generated from clearing J342s - always deliver. Otherwise contact the customer(s) and find out if they want the jobs.|If jobs are to deliver - escalate a ticket.|If jobs are to be cancelled - cancel one at a time if less than 25. If more than 25 - escalate for assistance with cancellations.,,,3/27/2024,WLAO
104,XSI,J269,Example:|expiration time is too short,Example:|Escalate a ticket to have the job(s) corrected and delivered.,,,3/27/2024,WLAO
105,XSI,J274,Example:|Too many bytes in Managed Email document,No action. These will be handled by the NOC.,,,3/27/2024,WLAO
106,XSI,J281,Example:|Invalid me_reply_to address for Managed Email,Correct the me_admin_to and me_reply_to and cancel the jobs.,,,3/27/2024,WLAO
107,XSI,J285,Example:|Parameter 'sms_activate_userid' not found in configuration for virtual domain default,Retry.|If it returns- escalate a ticket.,,,3/27/2024,WLAO
108,XSI,J287,Example:|Unable to determine the virtual domain,Retry.,,,3/27/2024,WLAO
109,XSI,J289,Example:|Problem retrieving recipient database entry,Retry.|If it returns- escalate a ticket.,,,3/27/2024,WLAO
110,XSI,J292,Example:|Job flags information not found for job ###,Cancel.,,IM1548562,3/27/2024,WLAO
111,XSI,J295,Example:|unable to find user: user in recipient db entry to internet address allen sun@xmr7.com,If this is an internal test job - cancel.,,,3/27/2024,WLAO
112,XSI,J302,Example:|Warning: Job may be SPAM,Kill.,,,3/27/2024,WLAO
113,XSI,J304,Example:|Can't write commit file on vms14mcp3,Retry.|If it returns- escalate a ticket.,,,3/27/2024,WLAO
114,XSI,J306,Example:|Too many bytes in Managed Email document,Cancel.,,,3/27/2024,WLAO
115,XSI,J315,Example:|Cannot write job5 elog,Retry.|If it returns- escalate a ticket.,,,3/27/2024,WLAO
116,XSI,J320,Example:|Unable to populate DC Retry Algorithm,Retry.,,,3/27/2024,WLAO
117,XSI,J321,Example:|Can't determine if attachment is push or pull,Escalate a ticket.,,,3/27/2024,WLAO
118,XSI,J339,Example:|Invalid blackout in %user:sms_blackout in job header,Correct the blackout and retry the error.,,,3/27/2024,WLAO
119,XSI,J342,Example:|can't find addr_type and/or to value in forwarding_address profile element,Retry (in case it is already corrected).|Use Profile Management and go to XDDS - choose forwarding_address - add the correct value in front of the address. Save and retry the error.|(i.e. Modify froth@opentext.com to internet:froth@opentext.com.),,,3/27/2024,WLAO
120,XSI,J342,Example:|Value '16156800' for purge_delay is larger than system maximum of '5184000',Correct the purge delay in the profile and retry.,,,3/27/2024,WLAO
121,XSI,J342,Example:|Invalid drop_copy_address profile element,Remove INTERNET: from drop_copy_address on the F2M profile tab and retry the error.,,,3/27/2024,WLAO
122,XSI,J345,Example:|Job was setup already,Retry.|If it returns- escalate a ticket.,,,3/27/2024,WLAO
123,XSI,J347,Example:|Unable to open Recipient List 'vanas4(800 800):/vol/nfsjmon4/sxsi/82/8262/826243/82624385/2.list',Retry.|If it returns- escalate a ticket.,,,3/27/2024,WLAO
124,XSI,J351,Example:|Can not get group name,Retry.|If it returns- escalate a ticket.,,,,
125,XSI,J365,Example:|Invalid third party input channel 'test' specified,Retry.|If it returns- escalate a ticket.,,,3/27/2024,WLAO
126,XSI,J366,Example:|In MultiNormalSjob::setJobStatusPosted,Retry.,,,3/27/2024,WLAO
127,XSI,J369,Example:|Error committing Job Progress State - Invalid Partition,Escalate a ticket.,,,3/27/2024,WLAO
128,XSI,J372,Example:|User ID XSI/ROBIN service status (C) is not Active,Escalate a ticket.||Because the user is cancelled - support cannot cancel these jobs.,,,3/27/2024,WLAO
129,XSI,J377,Example:|Job contains too many 'push' attachments,Cancel.,,,3/27/2024,WLAO
130,XSI,J388,Example:|recipDB ftp password lookup failed,Escalate a ticket. If possible - Tier 2 will enter the password and retry the job. If the password is not available to be entered - the ticket will be returned for Customer Support to contact the customer and find out what the password should be. Once the password has been obtained - we will follow the directions provided by Tier 2 in the ticket for how to proceed.,,,3/27/2024,WLAO
131,XSI,J389,Cannot get the caller info from db||Most likely cause is some problem accessing DB.||The error may state (Caller_number 'data from profile element' must be all digits and cannot be empty),Verify the issue is with the profile element - remove the text or change to a number and cancel the error.,,,3/27/2024,WLAO
132,XSI,J393,Example:|Workflow delivery failed,If this is for user id F2M/52320199024 - check the web push logs to see if delivery for the job has failed. If so - attach the tracer and escalate a ticket.|If this is for an OCR user - the correct OCR settings will need to be determined.|If this is for an internal user - it is likely that the workflow settings will need to be removed; however - check with the user first.,,,3/27/2024,WLAO
133,XSI,M113,Example:|Could not insert item into mailbox: 1300861 6 attempts have been made,Retry.|If it returns- escalate a ticket.,,,3/27/2024,WLAO
134,XSI,M117,Example:|Could not get mailbox number for user: TKFAX. - error contacting dbserv,Retry.,,,3/27/2024,WLAO
135,XSI,M122,Example:|Could not copy mailbox item document,Retry.|If it returns- escalate a ticket.,,,3/27/2024,WLAO
136,XSI,M300,Example:|Can not get mailbox no in the queue item for retry.,Retry.|If it returns- escalate a ticket.,,,3/27/2024,WLAO
137,XSI,M302,Example:|Over the maximum retry is allowed,Retry.|If it returns- escalate a ticket.||M302 will eventually go through - they are set on an alarm every 15 minutes to try the MAF queue. You do not need to action these unless it builds up into the 100s or higher.,,,3/27/2024,WLAO
138,XSI,M305,Example:|Initialize header file failed.,Retry.||They will probably return as M300 errors.,,,3/27/2024,WLAO
139,XSI,M308,Example:|XINET: MAF e-mail bounce-back detected,Retry.|If it returns- escalate a ticket.,,,3/27/2024,WLAO
140,XSI,M500,Example:|Unable to access header number '1784783065': no error,Retry.,,,3/27/2024,WLAO
141,XSI,M502,Example:|Unable to retrieve Text Block,Retry.,,,3/27/2024,WLAO
142,XSI,M504,Example:|Either push or pull (or both) must be specified for each document,Retry.|Cancel.,,,3/27/2024,WLAO
143,XSI,M517,Example:|Remove keyword not found for static from user,Correct the error and retry. Otherwise - cancel the job if the retry does not work.,,,3/27/2024,WLAO
14,XSI,M517,Example:|The body charset UTF-8 couldn't be converted to the output charset ISO-8859-1,Escalate a ticket.,,,3/27/2024,WLAO
145,XSI,M517,Example a:|Cannot create file /xdds/mcp/run/virus_dir/uvscanD1/ for virus scanning||Example b:|Cannot empty virus scan directory /xdds/mcp/run/virus_dir/uvscanB1,Retry until cleared.,,,3/27/2024,WLAO
146,XSI,M521,Example:|Error logging attachment information to the event store.,Retry.|If it returns- escalate a ticket.,,,3/27/2024,WLAO
147,XSI,M524,Example:|Unable to lock output document number 249242695,Retry.|If it returns- escalate a ticket.,,,3/27/2024,WLAO
148,XSI,M529,Example:|Invalid header for segment ATTACH1,Check the job to determine which subjob is in Err. Usually - it is MessagePrep in Drop Copy. Cancel on Reports.||Occassionally - the job has errored on MessagePrep in Main. If this occurs - cancel the job on Main.||If the job errors on MessagePrep in Main and is cancelled on Delivery rather than Main - it will generate J321 errors - IM1440088.,,,3/27/2024,WLAO
149,XSI,M530,Example:|Unable to determine virtual domain,Retry.,,,3/27/2024,WLAO
150,XSI,M547,Example:|Cannot find file /tmp/uvscanD0/PAGE1.jpg for customer file store copy,Retry.,,,3/27/2024,WLAO
151,XSI,M901,,Retry.|If it returns- escalate a ticket.,,,3/27/2024,WLAO
152,XSI,M902,,Retry.|If it returns- escalate a ticket.,,,3/27/2024,WLAO
153,XSI,O101,Example:|addr_type:  fax|block_number:  525555864635|block_level:  customer|custno:  56433|userno:  1071139|pin|ani|err_msg  SYSTEM error -1 Keyword 'locale' not found for domain 'default': validate error: 5103 - too many dial digits<-validate error: 5103 - too many dial digits<-validate error: 5103 - too many dial digits,Open a ticket and add the number(s) to be blocked with customer/user information for each one. Block the number with the ticket number in the notes field of the block - i.e.: phoneblock -C56433 -n1-2667871797 01152555864635. Verify the block - then kill the error. Close the ticket when complete.||These are recipients with international numbers that have requested a block. The system reads the number as too many or too few dial digits. The number must be blocked with the prefix '011'. ,,,3/27/2024,WLAO
154,XSI,O111,Example:|Queue item <5379383/ocragent_P1> is not valid. Field <password> is not defined.,Remove OCR from format_options.,,IM1377950,3/27/2024,WLAO
155,XSI,O300,Example:|OCR Router/Batcher Internal Error,Retry.|If it returns- escalate a ticket.,,,3/27/2024,WLAO
156,XSI,O301,Example:|OCR EngineRS Internal Error,Retry.|If it returns- escalate a ticket.||CVS:|If the outdoc is 0 bytes - cancel the job.,,IM1418070,3/27/2024,WLAO
157,XSI,O402,Example:|Job 1441291786-4: Failed to open the OCR XML file [1441291786_3_0004.xml] : Xml2Doc::open() failed!,Retry.|If it returns- escalate a ticket.,,,3/27/2024,WLAO
158,XSI,O402,Example:|Job 87050381-5: Failed to open the OCR XML file [87050381_4_0001.xml] : Xml2Doc::open() failed!,Retry.|If it returns- escalate a ticket.,,,3/27/2024,WLAO
159,XSI,P001,Example:|can't determine the user's virtual domain.,Retry.,,,3/27/2024,WLAO
160,XSI,P001,Example:|ERROR: profile forwarding_address SYNTAX error. ,Correct the user's forwarding address. Retry. If it returns and you're positive the forwarding address is correct - escalate a ticket.,,,3/27/2024,WLAO
161,XSI,P001,Example:|Required FLN command file missing from input file set,Cancel.,,,3/27/2024,WLAO
162,XSI,P001,Example:|error converting address list to doc_list,Retry and ensure Tier 2 is aware that the error needed to be retried manually.,,,3/27/2024,WLAO
163,XSI,P001,Example:|Recipient list is missing mandatory REF value,Cancel.,,,3/27/2024,WLAO
164,XSI,P001,Example:|ERROR - No Store Number mapped to inbound fax number 8775683431 in stores list,Cancel.|Otherwise - when there are a lot (read: more than fifty) of errors for one particular user - escalate a ticket for investigation. One off errors can be cancelled. If there is a sudden influx of these errors - notify Tier 2 and escalate a ticket.,,,3/27/2024,WLAO
165,XSI,P001,CVS:|Example:|ERROR - No record was found in recipDb mapping this Fax2Mail number:5124820514 to a CVS store. This could indicate that CVS has removed the store associated with this Fax2Mail number. If the store is no longer valid this Fax2Mail number should be deactivated to prevent future faxes from being received,DO NOT TOUCH - Andy has a script which acts on these errors automatically. Open a ticket if the errors have not cleared after an extended period of time.,,,3/27/2024,WLAO
166,XSI,P001,CVS1INOCR:|Customer File Store not available,Retry.,,,3/27/2024,WLAO
167,XSI,P002,Example:|error parsing input message,When there are a lot (read: more than fifty) of errors for one particular user - escalate a ticket for investigation. One off errors can be cancelled. If there is a sudden influx of these errors - notify Tier 2 and escalate a ticket.,,,3/27/2024,WLAO
168,XSI,P002,Example:|unable to execl parser program,Retry.|If it returns- escalate a ticket.,,,3/27/2024,WLAO
169,XSI,P003,Example:|user number could not be determined or is invalid,Escalate a ticket.,,,3/27/2024,WLAO
170,XSI,P004,,When there are a lot (read: more than fifty) of errors for one particular user - escalate a ticket for investigation. One off errors can be cancelled. If there is a sudden influx of these errors - notify Tier 2 and escalate a ticket.,,,3/27/2024,WLAO
171,XSI,P005,Example:|failed tiffcp conversion,When there are a lot (read: more than fifty) of errors for one particular user - escalate a ticket for investigation. One off errors can be cancelled. If there is a sudden influx of these errors - notify Tier 2 and escalate a ticket.,,,3/27/2024,WLAO
172,XSI,P008,Example:|no recipient address found,When there are a lot (read: more than fifty) of errors for one particular user - escalate a ticket for investigation. One off errors can be cancelled. If there is a sudden influx of these errors - notify Tier 2 and escalate a ticket.||The user should be contacted and notified that they are sending bad messages that do not contain a recipient. IM1564521,,,3/27/2024,WLAO
173,XSI,P015,Example:|can't find Email job INDOC_HTML segment to locate the DOCNO,When there are a lot (read: more than fifty) of errors for one particular user - escalate a ticket for investigation. One off errors can be cancelled. If there is a sudden influx of these errors - notify Tier 2 and escalate a ticket.||WFSAFE-T:|Escalate a ticket.,,,3/27/2024,WLAO
174,XSI,P017,Example:||unable to read input queue item,When there are a lot (read: more than fifty) of errors for one particular user - escalate a ticket for investigation. One off errors can be cancelled. If there is a sudden influx of these errors - notify Tier 2 and escalate a ticket.,,,3/27/2024,WLAO
175,XSI,P021,Example:|parser program can't handle,When there are a lot (read: more than fifty) of errors for one particular user - escalate a ticket for investigation. One off errors can be cancelled. If there is a sudden influx of these errors - notify Tier 2 and escalate a ticket.||Labcorp:|Escalate a ticket if they will not cancel.,,,3/27/2024,WLAO
